year,poorpop,HC
2020,1.96844840494126,0.2510470902028
2021,1.90014241038801,0.240241687193703
2022,1.84876183614754,0.231816609280045
1990,2.97401066651155,0.563252913275767
1991,3.02636774823553,0.563764702642015
1992,3.05904483120608,0.560830650013313
1993,3.08819287372877,0.557469950078423
1994,3.10728161413458,0.552528935220878
1995,3.08977545379627,0.541424368503195
1996,3.08773215602137,0.533318835248494
1997,3.09786195593897,0.527539496813469
1998,3.13059744424788,0.525796970488584
1999,3.15583719490696,0.52296716702407
2000,3.11804277770087,0.509957070522065
2001,3.10595275122246,0.501472615501442
2002,3.05487606148824,0.487009462962822
2003,3.02267320960439,0.475872459504468
2004,2.94328371885774,0.45763371866754
2005,2.84542774966616,0.436969899079826
2006,2.79947761080357,0.42463219344356
2007,2.71914934294326,0.407413133904657
2008,2.67774882327471,0.39629253503176
2009,2.63363776729296,0.385059886345134
2010,2.51872032693401,0.363879404547002
2011,2.38403079180929,0.340392966354699
2012,2.31447777770636,0.326476890064459
2013,2.19747784201165,0.306247331370659
2014,2.1570549820822,0.297039460873967
2015,2.12002432065931,0.288529795492789
2016,2.08436203870419,0.280398546939252
2017,2.00686925808371,0.266899892658106
2018,1.88043147446772,0.247345322266353
2019,1.8025383319169,0.234602498896949
