year,poorpop,HC
2020,3.76938765448299,0.480730813227766
2021,3.72474973360045,0.470933207680862
2022,3.71452763761994,0.465765349107602
1990,3.63663427615953,0.688748320115486
1991,3.72134554643141,0.693228133506005
1992,3.80892093968827,0.698309349592785
1993,3.89947949219409,0.703920618539773
1994,3.96341253252069,0.704763963611537
1995,3.98679663604119,0.698610265793636
1996,4.04790377709491,0.699161461718214
1997,4.07824580114047,0.694490512622982
1998,4.1254300806752,0.692883284105097
1999,4.20777715376592,0.697288599400781
2000,4.20600000280579,0.687892884403657
2001,4.22373751681486,0.681944919772221
2002,4.22003965776305,0.672760271134458
2003,4.24423692938835,0.668188496159684
2004,4.20968480677315,0.654538908430308
2005,4.16489839537286,0.639599874471363
2006,4.13696255437972,0.627505459190255
2007,4.08963446590104,0.612754425791762
2008,4.06763071345308,0.601987637151132
2009,4.06140597757226,0.593811549768627
2010,3.98882582859265,0.576265475697661
2011,3.92860272658472,0.560927627413927
2012,3.88551536628034,0.548085181590286
2013,3.81050839794851,0.531044275271935
2014,3.77376925467609,0.519670752105576
2015,3.74632298284897,0.50986481313346
2016,3.71644069978073,0.499953728121176
2017,3.675896006929,0.488869041029871
2018,3.60683360021056,0.474430167394279
2019,3.59021186177573,0.46727032619958
